,url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
8215,https://www.zomato.com/bangalore/mad-about-china-whitefield?context=eyJzZSI6eyJlIjpbIjE4OTU0MjY5IiwiMTg1NjUzMTQiLCIxODQ1NTU2MyIsIjE4NTQ5NzM2IiwxODY0NzgyMSwiNTUyNDMiLCIxODc3NDM3NCIsIjE4OTIxMDc4IiwiMTg5MDUxOTAiLCIxODc2Mjk3MCIsIjE4NDEyNDI3IiwiNjE1MzMiLCIxODc5NTk0NCIsIjE4NzMzMzk3IiwiMTg1MTA5NjYiLCI1MDczMyIsIjE4NjM0MzE2IiwiNTQ5ODMiLCIxODczOTU3MiIsIjE4MzA4Nzg5Il0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBCcm9va2VmaWVsZCJ9fQ==,"1st Floor, Inorbit Mall, EPIP Zone, Whitefield, Bangalore",Mad About China,Yes,No,3.9/5,146,"+91 8318686385
+91 9369581602",Whitefield,Food Court,,"Chinese, Momos",600,[],Dine-out,Brookefield
28234,https://www.zomato.com/bangalore/the-choux-box-koramangala-6th-block?context=eyJzZSI6eyJlIjpbIjE4Njc3NTY4IiwiMTg3MTA0NTgiLCI1NTE1MiIsIjU5ODQxIiwxODI3NTg0MSwiNTg4MDkiLCI1OTIzMCIsIjE4NTMzOTI2IiwiMTg0MjY5ODciLCIxODM0NjM0NSIsIjE3OTU2NzAyIiwiMTgzNjg2OTciLCIxODc3NDM0MSIsIjE4NTUxNjU3IiwiMTg2MjA3NzUiXSwidCI6IkRlc3NlcnRzICYgQmFrZXMgaW4gS29yYW1hbmdhbGEgNHRoIEJsb2NrIn19,"59, 17D Main, Koramangala 6th Block, Bangalore",The Choux Box,No,No,3.5/5,11,+91 9986700745,Koramangala 6th Block,"Takeaway, Delivery",,"Desserts, Bakery",300,[],Desserts,Koramangala 4th Block
36351,https://www.zomato.com/bangalore/snack-souq-btm?context=eyJzZSI6eyJlIjpbIjE4NDcwNzc3IiwiMTg0MzI5NjYiLCIxODMzOTg1NiIsIjE4NTc5OTE2IiwxODYwMDg5OSwiMTg1NTg0NTQiLCIxODQ2NzIxMiIsIjE4NDg5MTMwIiwiMTg1MTQzNzkiLCIxODUyNjM0OSIsIjE4NjI5NzQyIiwiMTg2NjQ2NjEiLCIxODY2NTQ4NSIsIjU3MjkwIiwiNjA0MDkiLCI2MDM4NCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gS29yYW1hbmdhbGEgN3RoIEJsb2NrIn19,"1st Main Road, Maruti Nagar, Madivala, Bangalore, BTM, Bangalore",Snack Souq,No,No,,0,,BTM,"Takeaway, Delivery",,"Chinese, Rolls",250,[],Delivery,Koramangala 7th Block
51584,https://www.zomato.com/bangalore/roll-junction-1-whitefield?context=eyJzZSI6eyJlIjpbIjE4NDY3MjU0IiwiMTg0OTk2OTgiLCIxODUxMDcyNyIsIjE4OTMxMDAyIiwxODQ0ODM1MywiMTg5Mzg2MDYiLCIxODk1OTE2MCIsIjE4Nzk3NzIyIiwiMTg5MDI2OTgiLCI1NzA5MiIsIjU3NzE3IiwiMTg4NjY1NzAiLCI1NDk4MyIsIjE4NzE1OTY3IiwiMTg1NjcxODIiLCI1NTA4NiIsIjUyNDA3IiwiMTg1MjEzNjkiLCIxODUwODYwMSIsIjE4ODcyOTMzIl0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBXaGl0ZWZpZWxkIn19,"Food Court 2, Concourse Tech Park Mall, ITPL, Whitefield, Bangalore",Roll Junction,No,No,3.1 /5,8,+91 9845343977,Whitefield,Food Court,,"Fast Food, Rolls",150,[],Dine-out,Whitefield
12824,https://www.zomato.com/bangalore/lifetree-caf%C3%A9-richmond-road-bangalore?context=eyJzZSI6eyJlIjpbIjUxMDQ3IiwiNTQ4MzQiLCI1MTY1MiIsIjU5ODM3IiwxODY4MTMzNywiMTg1OTExNTgiLCIxODc3NTgyOSIsIjUzOTY3IiwiMTg1ODAxMjkiLCI1MjcxNSIsIjUzNjcxIiwiMTg2ODI5MDAiLCIxODc4MTQxMiIsIjE4ODUzNDM4IiwiMTg2MTkwMjQiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIENodXJjaCBTdHJlZXQifX0=,"Melange Astris, 1, Langford Garden, Richmond Road, Bangalore",Lifetree CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,No,No,3.4/5,10,+91 7090718702,Richmond Road,Casual Dining,,"North Indian, Chinese, Continental",700,[],Dine-out,Church Street
32303,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzY5Njc1IiwiMTg3OTc3ODgiLCI1ODM3OSIsIjE4NjQ3NzcyIiwxODc5MTIyMywiMTg4MjQxNzQiLCIxODMwNDc2NyIsIjE4NjM2MzE1IiwiMTg3Mjg3ODAiLCIxODYyODg3NCIsIjE4OTE5NDM2IiwiMTgzNDYzNTciLCI1MzAxNSIsIjE4Nzk3NTk5IiwiMTg1MjgxNzAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDZ0aCBCbG9jayJ9fQ==,"15/A, 4th Main, Behind Ayyappa Swamy Temple, Madiwala, BTM, Bangalore",Dum Biryani Hub,Yes,No,3.9 /5,66,080 49653144,BTM,Quick Bites,"Dum Biryani, Mutton Biryani",Biryani,700,"['Curd Rice', 'Ghee Rice', 'Veg Biryani', 'Paneer Biryani', 'Mushroom Biryani', 'Egg Biryani', 'Chicken Dum Biryani', 'Special Boneless Chicken Biryani', 'Chicken Fry Piece Biryani', 'Mutton Biryani', 'Prawns Biryani', 'Fish Biryani', 'Chicken Kabab', 'Chicken Munchurian', 'Chilly Chicken', 'Egg Fried Rice', 'Chicken Fried Rice', 'Paneer Biryani', 'Veg Biryani', 'Mushroom Biryani', 'Egg Biryani', 'Chicken Dum Biryani', 'Boneless Dum Biryani', 'Mutton Dum Biryani', 'Fish Biryani', 'Steamed Basmati Rice', 'Curd Rice', 'Ghee Rice', 'Jeera Rice', 'Cashew Rice', 'Veg Biryani', 'Paneer Biryani', 'Mushroom Biryani', 'Babycorn Biryani', 'Plain Biryani', 'Egg Biryani', 'Chicken Dum Biryani', 'Special Boneless Chicken Biryani', 'Chicken Fry Piece Biryani', 'Mutton Biryani', 'Mutton Kheema Biryani', 'Prawns Biryani', 'Fish Biryani', 'Chicken Kabab Biryani', 'Chilly Mushroom', 'Mushroom 65', 'Mushroom Manchurian', 'Gobi Manchurian', 'Gobi 65', 'Schezwan Paneer', 'Chilly Gobi', 'Paneer 65', 'Paneer Manchurian', 'Chilly Paneer', 'Egg Chilly', 'Egg Bhurji', 'Dragon Chicken', 'Sehezwan Chicken', 'Chicken Kabab', 'Chicken Munchurian', 'Chicken Lolypop', 'Chicken Dromstic', 'Fried Chicken Wings', 'Chicken Pakoda', 'Chilly Chicken', 'Pepper Chicken Dry', 'Chicken 65', 'Chilly Prawns', 'Prawns 65', 'Prawns Manchurian', 'Schezwen Fish', 'Kadai Paneer', 'Palak Paneer', 'paneer Butter Masala', 'Plain Palak', 'Mixed Veg Currry', 'Aloo Gobi Masala', 'Green Peas Masala', 'Aloo Gobi Matar Masala', 'Baby Corn Masala', 'Kadai Veg', 'Dal Fry', 'Dal Tadka', 'Egg Masala', 'Egg Do Pyaza', 'Egg Curry', 'Kadai Egg', 'Punjabi Chicken', 'Andhra Chicken', 'Mutton Kheema Masala', 'Spicy Mutton Curry', 'Mutton Do Pyaza', 'Kadai Prowns', 'Andhra Prawns Masala', 'Butter Chicken', 'Kadai Chicken', 'Chicken Masala', 'Chicken Do Pyaza', 'Achari Chicken', 'Andhra Fish Curry', 'Prawns Masala', 'Prawns Do Pyaza', 'Paneer Biryani', 'Veg Biryani', 'Mushroom Biryani', 'Egg Biryani', 'Chicken Dum Biryani', 'Boneless Dum Biryani', 'Mutton Dum Biryani', 'Keema Dum Biryani', 'Fish Biryani', 'Prawns Biryani', 'Pulka', 'Butter Pulka', 'Veg Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Mixed Non Veg Fried Rice', 'Schezwan Chicken Fried Rice', 'Special Prawns Fried Rice', 'Veg Chowmein', 'Schezwan Veg Noodles', 'Egg Noodles', 'Chicken Noodles', 'Chicken Chowmein', 'Chicken Hakka Noodles', 'Schezwan Mix Non Veg Noodles', 'Schezwan Chicken Noodles', 'Boiled Egg', 'Egg Omelette', 'Butter Milk', 'Coke [600 ml]', 'Mineral Water [1 litre]', 'Sprite [600 ml]']",Delivery,Koramangala 6th Block
22241,https://www.zomato.com/bangalore/alif-restaurant-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzgxNTk1IiwiNTk2NzAiLCIxODI3ODIyOCIsIjU5NDE2IiwxODY4OTc1MiwiMTg4OTc0MjAiLCI1MDYzNiIsIjE4OTI2MTY2IiwiMTg3MjcyNzUiLCIxODYzMTE1NiIsIjE4ODAxMDUwIiwiMTg0NjUwMzUiLCIxODYwNDY4OCIsIjE4NzgzNTQyIiwiMTg2NzkyODMiLCIxODg1NjQ4OSIsIjE4NjUzNTE2Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBKUCBOYWdhciJ9fQ==,"312, 15th cross, 5th Phase, JP Nagar, Bangalore",Alif Restaurant,Yes,No,3.6/5,27,+91 8667307119,JP Nagar,Casual Dining,,"North Indian, Chinese",600,"['Pepper Chicken', 'Grilled Chicken', 'Dum Briyani', 'Hyderabadi Chicken Laila Biryani', 'Special Shawarma', 'Shawarma [1 Plate]', 'Tomato Soup', 'Manchow Veg Soup', 'Hot and Sour Veg Soup', 'Veg Clear Soup', 'Veg Lemon Coriander Soup', 'Veg Sweet Com Soup', 'Chicken Alif Laila Soup', 'Manchow Chicken Soup', 'Hot and Sour Chicken Soup', 'Chicken Clear Soup', 'Lemon Coriander Chicken Soup', 'Chicken Sweet Com Soup', 'Arabian Laila Soup', 'Paneer Achari Tikka', 'Paneer Hariyali Tikka', 'Himachal Tandoori Mushroom', 'Tandoori Makhmali Gobi', 'Tandoori Chatpata Gobi', 'Egg Bhurji', 'Egg Omelette', 'Boiled Egg', 'Egg Pepper Roast', 'Chicken Charcoal', 'Crispy Veg', 'Crispy Schezwan Potato', 'Crispy Chilli Potato', 'Gobi Manchurian', 'Gobi 65', 'Gobi Chilli', 'Mushroom Manchurian', 'Mushroom 65', 'Mushroom Chilli', 'Mushroom Salt and Pepper', 'Paneer Manchurian', 'Paneer 65', 'Paneer Chilli', 'Chicken 65', 'Chicken Manchurian', 'Chilli Chicken', 'Apollo Chicken', 'Devil Chicken', 'Dragon Chicken', 'Garlic Chicken', 'Ginger Chicken', 'Sweet and Sour Chicken', 'Lemon Chicken', 'Crispy Kurkure Chicken', 'Pepper Chicken', 'Schezwan Chicken', 'Chicken Kabab', 'Grilled Chicken', 'Veg Takatak', 'Veg Jalfrezi', 'Miloni Sabzi Handi', 'Sabzi Methi Chaman', 'Sabzi Nizami Handi', 'Veg Kholapuri', 'Mixed Veg Curry', 'Bhendi Do Pyaza', 'Kaju Masala', 'Kaju Mutter Malai', 'Mushroom Methi Matar', 'Mushroom Kaju Matar', 'Mushroom Tawa Masala', 'Makai Simla Mirch', 'Paneer Tikka Masala', 'Paneer Kulchan', 'Paneer Shahi Kurma', 'Paneer Kadai', 'Paneer Kolhapuri', 'Paneer Butter Masala', 'Paneer Lababdar', 'Paneer Mutter Masala', 'Aloo Gobi', 'Aloo Matar', 'Gobi Matar', 'Green Peas Masala', 'Dum Aloo', 'Egg Masala', 'Egg Bhurji Masala', 'Laila Masala', 'Butter Chicken', 'Rara Murgh', 'Kadai Murgh', 'Murgh Kholapuri', 'Murgh Tikka Masala', 'Murgh Achari Masala', 'Murgh Bhuna Masala', 'Murgh Do Pyaza', 'Murgh Kadai Afghani', 'Murgh Hyderabadi', 'Punjabi Chicken', 'Mughlai Chicken', 'Plain Paratha', 'Aloo Paratha', 'Gobi Paratha', 'Paneer Paratha', 'Veg Biryani', 'Veg Pulav', 'Kaju Mutter Pulav', 'Paneer Pulav', 'Curd Rice', 'Ghee Rice', 'White Rice', 'Jeera Rice', 'Biryani Rice', 'Dum Briyani', 'Egg Biryani', 'Hyderabadi Chicken Laila Biryani', 'Veg Fried Rice', 'Schezwan Veg Fried Rice', 'Gobi Fried Rice', 'Kaju Fried Rice', 'Mushroom Fried Rice', 'Egg Fried Rice', 'Egg Schezwan Fried Rice', 'Chicken Fried Rice', 'Schezwan Chicken Fried Rice', 'Chicken Shanghai Fried Rice', 'Egg Noodles', 'Chicken Noodles', 'Schezwan Chicken Noodles', 'Chicken Singapore Noodles', 'Chicken Keema Roll', 'Chicken Tikka Roll', 'Shawarma Roll', 'Special Shawarma', 'Shawarma [1 Plate]', 'Nizam Roll', 'Green Salad', 'Cucumber Salad', 'Lemon with Soda', 'Lemon with Mint Juice', 'Lemon Juice']",Delivery,JP Nagar
50852,https://www.zomato.com/bangalore/venice-kerala-restaurant-1-brookefield-bangalore?context=eyJzZSI6eyJlIjpbIjU2NjE1IiwiMTg4OTIwMjkiLCIxODc0NzA2MCIsIjE4ODkwMDQ5IiwxODcxMTE5NCwiMTg3NTgzNzAiLCIxODQ1NTU5MCIsIjE4NzUwNDU5IiwiMTg5MzI2OTkiLCIxODQ0MzA3MSIsIjE4NzgzNDQzIiwiMTg3MjQwMDUiLCIxODQ0ODM4MyIsIjE4NjU1NTcyIiwiMTg3NzQzNzQiLCIxODcxNDA5NyIsIjE4ODk5NzQzIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBXaGl0ZWZpZWxkIn19,"Opposite Brookfield Mall, Shiva Temple Road, Brookefield, Bangalore",Venice Kerala Restaurant,No,No,3.7 /5,34,+91 8880059495,Brookefield,Quick Bites,,Kerala,200,[],Delivery,Whitefield
51351,https://www.zomato.com/bangalore/krutunga-restaurant-whitefield-bangalore?context=eyJzZSI6eyJlIjpbIjU3MDYyIiwiMTg4ODQwNDMiLCIxODUxMjMzMCIsIjU5OTA0IiwxODc4OTY3MiwiNTM1ODkiLCIxODQ0ODM1NSIsIjU4Mzg4IiwiNTYxODQiLCIxODc5NTU5NyIsIjE4MzA4NzY2IiwiMTg3MzkwMzMiLCIxODg0ODcyNSIsIjU2Nzc1IiwiNTkwOTciXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIFdoaXRlZmllbGQifX0=,"9, Narayanaswamy Building, Opposite Royalmart Supermart, Ambedkar Nagar, Whitefield, Bangalore",Krutunga Restaurant,Yes,No,3.0 /5,52,"080 43747899
+91 8747022949",Whitefield,Quick Bites,,"Andhra, Chinese, North Indian, Biryani, Beverages",400,"['Guntur Chicken Dry', 'Chicken Lollipop', 'Curd Rice', 'Veg Biryani', 'Mushroom Biryani', 'Paneer Biryani', 'Gongura Veg Biryani', 'Egg Biryani', 'Chicken Dum Biryani', 'Chicken Tikka Biryani', 'Chicken Fry Piece Biryani', 'Boneless Special', 'Gongura Chicken Biryani', 'Mutton Biryani', 'Veg Biryani Combo', 'Chicken Biryani Combo', 'Thums UP [600 ml]', 'Sprite [600 ml]', 'Veg Biryani Combo', 'Veg Meal Combo', 'Egg Biryani Combo', 'Egg Meal Combo', 'Chicken Biryani Combo', 'Chicken Meal Combo', 'Mutton Biryani Combo', 'Mutton Meal Combo', 'Fish Biryani Combo', 'Fish Meal Combo', 'Prawn Biryani Combo', 'Gobhi Manchurian Dry', 'Gobhi 65', 'Chilly Gobhi', 'Paneer Manchurian', 'Paneer 65', 'Chilly Paneer', 'Chilly Mushroom', 'Mushroom 65', 'Mushroom Manchurian', 'Golden Fried Baby Corn', 'Chilly Baby Corn', 'Pepper Fried Cashew', 'Nuts', 'Chilly Fried Cashew Nuts', 'Lemon Chicken', 'Chicken Majestic', 'Chicken Manchurian', 'Chicken 555', 'Chicken Roast', 'Guntur Chicken Dry', 'Chicken Lollipop', 'Chilly Chicken Wings', 'Schezwan Chicken', 'Wings', 'Chicken Drumsticks', 'Dragon Chicken', 'Schezwan Chicken', 'Cashew Chicken Balls', 'Special Chicken Dry', 'Pepper Chicken', 'Garlic Chicken', 'Ginger Chicken', 'Vegetable Chatpat', 'Vegetable do Pyaaza', 'Aloo Gobhi Masala', 'Mixed Vegetable Curry', 'Kadhai Vegetable', 'Vegetable Kolhapuri', 'Kaju Tomato Curry', 'Kaju Paneer Masala', 'Methi Chaman', 'Paneer Butter Masala', 'Paneer Tikka Masala', 'Kadhai Paneer', 'Mushroom Masala', 'Palak Paneer', 'Paneer Chatpata', 'Tomato Dal', 'Peanut Masala', 'Egg Masala', 'Tomato Egg Curry', 'Butter Chicken', 'Kadhai Chicken', 'Andhra Chicken Curry', 'Punjabi Chicken', 'Mughiai Chicken', 'Methi Chicken', 'Chicken Tikka Masala', 'Tangdi Kabab Masala', 'Kalmi Kabab Masala', 'Achaari Chicken', 'Congura Chicken Curry', 'Guntur Chicken Masala', 'Hyderabadi Chicken', 'Chicken Chatpat', 'Chicken Kolhapuri', 'Chicken do Pyaaza', 'Chicken Kali Mirch', 'Chicken Chettinad', 'Mutton Curry', 'Mutton Roghan Josh', 'Spicy Mutton Curry', 'Mutton Do Pyaaza', 'Congura Mutton Curry', 'Mutton Kali Mirch', 'Methi Mutton', 'Andhra Fish Curry', 'Fish Masala', 'Prawn do Pyaaza', 'Kadhai Prawns', 'Prawns Masala', 'Chapti', 'Pulka', 'Butter Pulka', 'Malabar Paratha', 'Ghee Rice', 'Jeera Rice', 'Steamed Rice', 'Curd Rice', 'Veg Biryani', 'Mushroom Biryani', 'Paneer Biryani', 'PaneerTikka Biryani', 'Cashew Biryani', 'Gongura Veg Biryani', 'Ulavacharu Veg Biryani', 'Plain Biryani Rice', 'Egg Biryani', 'Chicken Dum Biryani', 'Chicken Tikka Biryani', 'Chicken Fry Piece Biryani', 'Boneless Special', 'Chicken Kabab Biryani', 'Tangdi Kabab Biryani', 'Kalmi Kabab Biryani', 'Chilly Wings Biryani', 'Gongura Chicken Biryani', 'Ulavacharu Chicken', 'Chicken Lollipop Biryani', 'Ghee Roast Biryani', 'Mutton Biryani', 'Gongura Mutton Biryani', 'Fish Biryani', 'Prawn Biryani', 'Veg Fried Rice', 'Schezwan Veg Fried Rice', 'Gobhi Fried Rice', 'Paneer Fried Rice', 'Cashew Fried Rice', 'Corn Fried Rice', 'Congura Fried Rice', 'Tomato Rice', 'Egg Fried Rice', 'Schezwan Egg Fried Rice', 'Chicken Fried Rice', 'Schezwan Chicken Fried Rice', 'Special Chicken Fried Rice', 'Special Prawn Fried Rice', 'Mixed Non Veg Fried Rice', 'Schezwan Veg Chowmein', 'American Veg Chopsuey', 'Chinese Veg Chopsuey', 'Chicken American Chopsuey', 'Chicken Chinese Chopsuey', 'Italian Veg Pasta', 'Red Sauce Veg Pasta', 'Italian Chicken Pasta', 'Chicken Red Sauce Pasta', 'Cheese Roll', 'Mixed Veg Roll', 'Spicy Baby Corn Roll', 'Chilly Paneer Roll', 'Chilly Mushroom Roll', 'Hara Bhara Kabab', 'Egg Roll', 'Chicken Kabab Roll', 'Chicken Manchurian Roll', 'Spicy Chicken Roll', 'Chicken Pepper Roll', 'Chicken Kebab Roll', 'Chicken Tikka Roll', 'Whole Chicken Shawarma Roll', 'Onion Pakoda', 'French Fries', 'Boild Butter Corns', 'Crispy Corns', 'Mixed Vegetable Raita', 'Plain Curd', 'Kinley Soda [750 ml]', 'Thums UP [600 ml]', 'Coke [600 ml]', 'Fanta [600 ml]', 'Sprite [600 ml]', 'Sweet Lassi [250 ml]', 'Mango Lassi [250 ml]', 'Fresh Lime Sweet Juice [250 ml]', 'Fresh Lime Salted Juice [250 ml]', 'Sweet & Salted Fresh Lime Juice [250 ml]', 'Sweet Fresh Lime Soda [250 ml]', 'Salted Fresh Lime Soda [250 ml]', 'Sweet & Salted Fresh Lime Soda [250 ml]', 'Vanilla Milkshake [250 ml]', 'Mango Milkshake [250 ml]', 'Oreo Milkshake [250 ml]']",Dine-out,Whitefield
31447,https://www.zomato.com/bangalore/taco-bell-koramangala-6th-block?context=eyJzZSI6eyJlIjpbIjUzMzYyIiwiNTkzNTQiLCIxODU4MzA1MCIsIjE4OTU5MTg4Iiw1MTgyOCwiNjEzODEiLCIxODMwNTYyOCIsIjE4NzQxNDE5IiwiMTg3NDI4NTAiLCIxODg2ODU1MSIsIjE4NjkyNTgyIiwiMTg2NTg3MjAiLCIxODMzMzE3MyIsIjE4NTc5NDcwIiwiMTg4MDIyMzEiLCIxODY2OTYzOSIsIjE4NDY4ODE1IiwiNTA2MjgiLCIxODY0OTU1OCIsIjUzMDE1IiwiMTgzODU0NDIiLCIxODkyODU3NyIsIjE4MjkwMDc1Il0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBLb3JhbWFuZ2FsYSA1dGggQmxvY2sifX0=,"2/3, 80 Feet Road, Sony World Signal, Opposite Sapphirez, Koramangala 6th Block, Bangalore",Taco Bell,Yes,No,4.1 /5,1963,"+91 8088933838
+91 9731183188",Koramangala 6th Block,Quick Bites,"Tacos, Nachos, Potato Pops, Potato Burrito, Fiery Potato, Rice Bowls, Taco Joint","Mexican, American, Fast Food",600,[],Dine-out,Koramangala 5th Block
